dataset,model,trial,drift_type,severity,clean_accuracy,drift_accuracy,accuracy_drop,probe_layer,ks_threshold,mmd_threshold,layer1_ks_mean,layer1_ks_max,layer1_mmd,layer2_ks_mean,layer2_ks_max,layer2_mmd,layer3_ks_mean,layer3_ks_max,layer3_mmd,layer4_ks_mean,layer4_ks_max,layer4_mmd,ks_mean,ks_max,pvalue_mean,mmd,ks_alert,mmd_alert,features.3_ks_mean,features.3_ks_max,features.3_mmd,features.4_ks_mean,features.4_ks_max,features.4_mmd,features.6_ks_mean,features.6_ks_max,features.6_mmd,features.8_ks_mean,features.8_ks_max,features.8_mmd
bloodmnist,ResNet-50,0,gaussian_noise,low,0.68,0.38666666666666666,0.2933333333333334,layer4,0.19992675781249997,0.18299191072583193,0.7722916666666668,1.0,0.8782358169555664,0.6580208333333333,1.0,0.9494404196739197,0.5121354166666667,1.0,0.8244786858558655,0.4152604166666667,0.9933333333333333,0.6848466396331787,0.4152604166666667,0.9933333333333333,0.057497851596851085,0.6848466396331787,True,True,,,,,,,,,,,,
bloodmnist,ResNet-50,0,gaussian_noise,medium,0.68,0.20666666666666667,0.4733333333333334,layer4,0.19992675781249997,0.18299191072583193,0.8655208333333333,1.0,0.8888174295425415,0.7029166666666666,1.0,0.9223507046699524,0.54859375,1.0,0.8448872566223145,0.41671875,1.0,0.689875602722168,0.41671875,1.0,0.04267970677735758,0.689875602722168,True,True,,,,,,,,,,,,
bloodmnist,ResNet-50,0,gaussian_noise,high,0.68,0.09333333333333334,0.5866666666666667,layer4,0.19992675781249997,0.18299191072583193,0.8809895833333333,1.0,0.8942137956619263,0.7737499999999999,1.0,0.9179039597511292,0.6047395833333333,1.0,0.8745553493499756,0.43385416666666665,1.0,0.7098915576934814,0.43385416666666665,1.0,0.029923462563147568,0.7098915576934814,True,True,,,,,,,,,,,,
bloodmnist,ResNet-50,0,motion_blur,low,0.68,0.58,0.10000000000000009,layer4,0.19992675781249997,0.18299191072583193,0.30473958333333334,1.0,0.2648974061012268,0.28098958333333335,0.9933333333333333,0.33706527948379517,0.3040104166666666,0.9933333333333333,0.503711998462677,0.23895833333333333,0.6066666666666667,0.32634633779525757,0.23895833333333333,0.6066666666666667,0.11764523858732762,0.32634633779525757,True,True,,,,,,,,,,,,
bloodmnist,ResNet-50,0,motion_blur,medium,0.68,0.49333333333333335,0.1866666666666667,layer4,0.19992675781249997,0.18299191072583193,0.3628125,0.9933333333333333,0.3612867295742035,0.32901041666666664,1.0,0.4238137900829315,0.3292708333333333,1.0,0.557403564453125,0.2655208333333333,0.7666666666666667,0.37037187814712524,0.2655208333333333,0.7666666666666667,0.11602478045177593,0.37037187814712524,True,True,,,,,,,,,,,,
bloodmnist,ResNet-50,0,motion_blur,high,0.68,0.5066666666666667,0.17333333333333334,layer4,0.19992675781249997,0.18299191072583193,0.41708333333333336,1.0,0.45700782537460327,0.3789583333333333,1.0,0.49753475189208984,0.34182291666666664,1.0,0.5623300075531006,0.27520833333333333,0.7333333333333333,0.3977591097354889,0.27520833333333333,0.7333333333333333,0.09057412226806676,0.3977591097354889,True,True,,,,,,,,,,,,
bloodmnist,ResNet-50,0,brightness_shift,low,0.68,0.6666666666666666,0.01333333333333342,layer4,0.19992675781249997,0.18299191072583193,0.5026041666666666,1.0,0.6541786789894104,0.29854166666666665,1.0,0.5528141856193542,0.16098958333333335,0.8933333333333333,0.3732934892177582,0.13234374999999998,0.37333333333333335,0.14836761355400085,0.13234374999999998,0.37333333333333335,0.36832615856870243,0.14836761355400085,False,False,,,,,,,,,,,,
bloodmnist,ResNet-50,0,brightness_shift,medium,0.68,0.7266666666666667,-0.046666666666666634,layer4,0.19992675781249997,0.18299191072583193,0.6986979166666667,1.0,0.8390610814094543,0.42078125,1.0,0.6998584866523743,0.21661458333333333,1.0,0.6175889372825623,0.18927083333333333,0.5666666666666667,0.22520248591899872,0.18927083333333333,0.5666666666666667,0.2197406725363738,0.22520248591899872,False,True,,,,,,,,,,,,
bloodmnist,ResNet-50,0,brightness_shift,high,0.68,0.6533333333333333,0.026666666666666727,layer4,0.19992675781249997,0.18299191072583193,0.8178645833333333,1.0,0.9312961101531982,0.5470312500000001,1.0,0.8048692345619202,0.2852604166666667,1.0,0.7843036651611328,0.2716145833333333,0.9533333333333334,0.378373384475708,0.2716145833333333,0.9533333333333334,0.14136282127884248,0.378373384475708,True,True,,,,,,,,,,,,
bloodmnist,EfficientNet-B0,0,gaussian_noise,low,0.7733333333333333,0.3933333333333333,0.38,features.8,0.19346923828124998,0.15851704105734823,,,,,,,,,,,,,0.3784895833333333,1.0,0.03862923801328835,0.6354873180389404,True,True,0.7668333333333333,1.0,0.8945605158805847,0.6706666666666666,1.0,0.8788061738014221,0.4638020833333333,1.0,0.7338625192642212,0.3784895833333333,1.0,0.6354873180389404
