dataset,model,drift_type,severity,probe_layer,trial,trial_std,clean_accuracy,clean_accuracy_std,drift_accuracy,drift_accuracy_std,accuracy_drop,accuracy_drop_std,ks_threshold,ks_threshold_std,mmd_threshold,mmd_threshold_std,layer1_ks_mean,layer1_ks_mean_std,layer1_ks_max,layer1_ks_max_std,layer1_mmd,layer1_mmd_std,layer2_ks_mean,layer2_ks_mean_std,layer2_ks_max,layer2_ks_max_std,layer2_mmd,layer2_mmd_std,layer3_ks_mean,layer3_ks_mean_std,layer3_ks_max,layer3_ks_max_std,layer3_mmd,layer3_mmd_std,layer4_ks_mean,layer4_ks_mean_std,layer4_ks_max,layer4_ks_max_std,layer4_mmd,layer4_mmd_std,ks_mean,ks_mean_std,ks_max,ks_max_std,pvalue_mean,pvalue_mean_std,mmd,mmd_std,features.3_ks_mean,features.3_ks_mean_std,features.3_ks_max,features.3_ks_max_std,features.3_mmd,features.3_mmd_std,features.4_ks_mean,features.4_ks_mean_std,features.4_ks_max,features.4_ks_max_std,features.4_mmd,features.4_mmd_std,features.6_ks_mean,features.6_ks_mean_std,features.6_ks_max,features.6_ks_max_std,features.6_mmd,features.6_mmd_std,features.8_ks_mean,features.8_ks_mean_std,features.8_ks_max,features.8_ks_max_std,features.8_mmd,features.8_mmd_std
bloodmnist,ResNet-50,gaussian_noise,low,layer4,0.5,0.5,0.69,0.009999999999999953,0.43666666666666665,0.05000000000000002,0.2533333333333333,0.04000000000000006,0.203839111328125,0.003912353515625008,0.19313291795551774,0.010141007229685792,0.7760156250000001,0.003723958333333277,1.0,0.0,0.8799655139446259,0.0017296969890594482,0.6647135416666666,0.006692708333333353,1.0,0.0,0.9473907947540283,0.0020496249198913574,0.51546875,0.0033333333333332993,1.0,0.0,0.8245871365070343,0.00010845065116882324,0.41911458333333335,0.0038541666666666585,0.9966666666666666,0.003333333333333355,0.6907968819141388,0.005950242280960083,0.41911458333333335,0.0038541666666666585,0.9966666666666666,0.003333333333333355,0.054809196285691905,0.00268865531115918,0.6907968819141388,0.005950242280960083,,,,,,,,,,,,,,,,,,,,,,,,
bloodmnist,ResNet-50,gaussian_noise,medium,layer4,0.5,0.5,0.69,0.009999999999999953,0.29666666666666663,0.09,0.3933333333333333,0.08000000000000004,0.203839111328125,0.003912353515625008,0.19313291795551774,0.010141007229685792,0.8678385416666666,0.002317708333333335,1.0,0.0,0.8886433839797974,0.00017404556274414062,0.7078645833333332,0.004947916666666663,1.0,0.0,0.9213214814662933,0.0010292232036590576,0.551875,0.0032812500000000133,1.0,0.0,0.8451955020427704,0.0003082454204559326,0.42296875,0.006249999999999978,1.0,0.0,0.6983547508716583,0.008479148149490356,0.42296875,0.006249999999999978,1.0,0.0,0.04220370232515437,0.00047600445220320753,0.6983547508716583,0.008479148149490356,,,,,,,,,,,,,,,,,,,,,,,,
bloodmnist,ResNet-50,gaussian_noise,high,layer4,0.5,0.5,0.69,0.009999999999999953,0.16666666666666666,0.07333333333333332,0.5233333333333333,0.06333333333333335,0.203839111328125,0.003912353515625008,0.19313291795551774,0.010141007229685792,0.88234375,0.0013541666666667118,1.0,0.0,0.8937118053436279,0.0005019903182983398,0.7790625,0.005312500000000053,1.0,0.0,0.9158119559288025,0.00209200382232666,0.609765625,0.005026041666666647,1.0,0.0,0.8721807301044464,0.002374619245529175,0.44080729166666666,0.0069531250000000044,1.0,0.0,0.7180847227573395,0.008193165063858032,0.44080729166666666,0.0069531250000000044,1.0,0.0,0.04681290116791751,0.016889438604769942,0.7180847227573395,0.008193165063858032,,,,,,,,,,,,,,,,,,,,,,,,
bloodmnist,ResNet-50,motion_blur,low,layer4,0.5,0.5,0.69,0.009999999999999953,0.5766666666666667,0.0033333333333332993,0.11333333333333334,0.013333333333333253,0.203839111328125,0.003912353515625008,0.19313291795551774,0.010141007229685792,0.308125,0.0033854166666666685,1.0,0.0,0.27466055750846863,0.009763151407241821,0.2840625,0.0030729166666666474,0.99,0.0033333333333332993,0.34456081688404083,0.0074955374002456665,0.30601562499999996,0.0020052083333333415,0.9966666666666666,0.003333333333333355,0.506540834903717,0.002828836441040039,0.24057291666666666,0.001614583333333336,0.61,0.0033333333333332993,0.33221617341041565,0.005869835615158081,0.24057291666666666,0.001614583333333336,0.61,0.0033333333333332993,0.12675813622168158,0.009112897634353967,0.33221617341041565,0.005869835615158081,,,,,,,,,,,,,,,,,,,,,,,,
bloodmnist,ResNet-50,motion_blur,medium,layer4,0.5,0.5,0.69,0.009999999999999953,0.5033333333333333,0.009999999999999981,0.18666666666666668,2.7755575615628914e-17,0.203839111328125,0.003912353515625008,0.19313291795551774,0.010141007229685792,0.36700520833333333,0.00419270833333335,0.9966666666666666,0.003333333333333355,0.37303709983825684,0.011750370264053345,0.33294270833333334,0.0039322916666666985,1.0,0.0,0.4340988099575043,0.010285019874572754,0.33140625,0.002135416666666695,1.0,0.0,0.5612048208713531,0.0038012564182281494,0.26611979166666666,0.0005989583333333437,0.7566666666666667,0.010000000000000009,0.3768855333328247,0.006513655185699463,0.26611979166666666,0.0005989583333333437,0.7566666666666667,0.010000000000000009,0.11928586877854402,0.003261088326768101,0.3768855333328247,0.006513655185699463,,,,,,,,,,,,,,,,,,,,,,,,
bloodmnist,ResNet-50,motion_blur,high,layer4,0.5,0.5,0.69,0.009999999999999953,0.51,0.0033333333333332993,0.18,0.006666666666666654,0.203839111328125,0.003912353515625008,0.19313291795551774,0.010141007229685792,0.4233854166666667,0.006302083333333319,1.0,0.0,0.47015686333179474,0.013149037957191467,0.38424479166666664,0.005286458333333355,1.0,0.0,0.5096972286701202,0.012162476778030396,0.34453125,0.002708333333333368,0.9966666666666666,0.003333333333333355,0.5665697157382965,0.004239708185195923,0.27546875,0.00026041666666665186,0.74,0.00666666666666671,0.40618714690208435,0.008428037166595459,0.27546875,0.00026041666666665186,0.74,0.00666666666666671,0.09979143639664578,0.009217314128579034,0.40618714690208435,0.008428037166595459,,,,,,,,,,,,,,,,,,,,,,,,
bloodmnist,ResNet-50,brightness_shift,low,layer4,0.5,0.5,0.69,0.009999999999999953,0.6733333333333333,0.00666666666666671,0.016666666666666663,0.0033333333333332438,0.203839111328125,0.003912353515625008,0.19313291795551774,0.010141007229685792,0.5076302083333333,0.005026041666666703,1.0,0.0,0.6638618111610413,0.00968313217163086,0.3044010416666667,0.005859375000000028,1.0,0.0,0.5617140233516693,0.008899837732315063,0.1601822916666667,0.000807291666666668,0.8966666666666667,0.003333333333333355,0.37435096502304077,0.0010574758052825928,0.1344270833333333,0.00208333333333334,0.3866666666666667,0.013333333333333336,0.1500479280948639,0.0016803145408630371,0.1344270833333333,0.00208333333333334,0.3866666666666667,0.013333333333333336,0.36672939242931085,0.001596766139391581,0.1500479280948639,0.0016803145408630371,,,,,,,,,,,,,,,,,,,,,,,,
bloodmnist,ResNet-50,brightness_shift,medium,layer4,0.5,0.5,0.69,0.009999999999999953,0.7066666666666667,0.020000000000000018,-0.016666666666666663,0.02999999999999997,0.203839111328125,0.003912353515625008,0.19313291795551774,0.010141007229685792,0.7062239583333333,0.007526041666666594,1.0,0.0,0.8463633358478546,0.0073022544384002686,0.42593749999999997,0.005156250000000001,1.0,0.0,0.7085739374160767,0.008715450763702393,0.2159375,0.0006770833333333282,1.0,0.0,0.6184424757957458,0.0008535385131835938,0.19075520833333334,0.00148437500000001,0.5633333333333334,0.0033333333333332993,0.22826838493347168,0.0030658990144729614,0.19075520833333334,0.00148437500000001,0.5633333333333334,0.0033333333333332993,0.21465517996033057,0.005085492576043224,0.22826838493347168,0.0030658990144729614,,,,,,,,,,,,,,,,,,,,,,,,
bloodmnist,ResNet-50,brightness_shift,high,layer4,0.5,0.5,0.69,0.009999999999999953,0.6466666666666667,0.006666666666666654,0.043333333333333335,0.016666666666666607,0.203839111328125,0.003912353515625008,0.19313291795551774,0.010141007229685792,0.8230729166666666,0.005208333333333315,1.0,0.0,0.9341873824596405,0.0028912723064422607,0.5511458333333334,0.00411458333333331,1.0,0.0,0.813922107219696,0.009052872657775879,0.2858072916666667,0.0005468750000000022,1.0,0.0,0.7823125123977661,0.0019911527633666992,0.27523437500000003,0.0036197916666666774,0.9366666666666668,0.016666666666666663,0.3848923146724701,0.006518930196762085,0.27523437500000003,0.0036197916666666774,0.9366666666666668,0.016666666666666663,0.14259577016136643,0.0012329488825239682,0.3848923146724701,0.006518930196762085,,,,,,,,,,,,,,,,,,,,,,,,
bloodmnist,EfficientNet-B0,gaussian_noise,low,features.8,0.5,0.5,0.7633333333333333,0.010000000000000009,0.43333333333333335,0.04000000000000001,0.32999999999999996,0.05000000000000002,0.195355224609375,0.0018859863281250056,0.16766777858138082,0.009150737524032587,,,,,,,,,,,,,,,,,,,,,,,,,0.3797135416666667,0.0012239583333333581,0.9966666666666666,0.003333333333333355,0.04080493122467005,0.0021756932113816962,0.634700208902359,0.0007871091365814209,0.7684166666666666,0.001583333333333381,1.0,0.0,0.8964654803276062,0.0019049644470214844,0.677375,0.006708333333333316,1.0,0.0,0.8812655806541443,0.002459406852722168,0.46760416666666665,0.0038020833333333726,1.0,0.0,0.7385913729667664,0.004728853702545166,0.3797135416666667,0.0012239583333333581,0.9966666666666666,0.003333333333333355,0.634700208902359,0.0007871091365814209
