dataset,model,reference_group,target_group,target_split,alignment,probe_layer,trial,trial_std,clean_accuracy,clean_accuracy_std,drift_accuracy,drift_accuracy_std,accuracy_drop,accuracy_drop_std,ks_threshold,ks_threshold_std,mmd_threshold,mmd_threshold_std,group_size,group_size_std,layer1_ks_mean,layer1_ks_mean_std,layer1_ks_max,layer1_ks_max_std,layer1_mmd,layer1_mmd_std,layer2_ks_mean,layer2_ks_mean_std,layer2_ks_max,layer2_ks_max_std,layer2_mmd,layer2_mmd_std,layer3_ks_mean,layer3_ks_mean_std,layer3_ks_max,layer3_ks_max_std,layer3_mmd,layer3_mmd_std,layer4_ks_mean,layer4_ks_mean_std,layer4_ks_max,layer4_ks_max_std,layer4_mmd,layer4_mmd_std,ks_mean,ks_mean_std,ks_max,ks_max_std,pvalue_mean,pvalue_mean_std,mmd,mmd_std,features.3_ks_mean,features.3_ks_mean_std,features.3_ks_max,features.3_ks_max_std,features.3_mmd,features.3_mmd_std,features.4_ks_mean,features.4_ks_mean_std,features.4_ks_max,features.4_ks_max_std,features.4_mmd,features.4_mmd_std,features.6_ks_mean,features.6_ks_mean_std,features.6_ks_max,features.6_ks_max_std,features.6_mmd,features.6_mmd_std,features.8_ks_mean,features.8_ks_mean_std,features.8_ks_max,features.8_ks_max_std,features.8_mmd,features.8_mmd_std
waterbirds,ResNet-50,val_matched,val_matched,val,matched,layer4,0.5,0.5,0.96,0.013333333333333364,0.98,0.013333333333333308,-0.019999999999999962,0.026666666666666672,0.19114990234375,0.004028320312499986,0.15957336649298667,0.0017089560627937261,150.0,0.0,0.07999999999999999,0.005885416666666664,0.15000000000000002,0.009999999999999995,0.06097106635570526,0.008677080273628235,0.083125,0.003124999999999996,0.16,0.013333333333333336,0.05978665500879288,0.0015397965908050537,0.082734375,0.00039062500000000555,0.16999999999999998,0.003333333333333341,0.05983724445104599,0.0003660731017589569,0.08302083333333334,0.0006250000000000006,0.17333333333333334,0.020000000000000004,0.06208385154604912,0.0032647065818309784,0.08302083333333334,0.0006250000000000006,0.17333333333333334,0.020000000000000004,0.6772175244515608,0.001386469475121832,0.06208385154604912,0.0032647065818309784,,,,,,,,,,,,,,,,,,,,,,,,
waterbirds,ResNet-50,val_matched,val_mismatched,val,mismatched,layer4,0.5,0.5,0.96,0.013333333333333364,0.5433333333333333,0.1366666666666667,0.4166666666666667,0.12333333333333335,0.19114990234375,0.004028320312499986,0.15957336649298667,0.0017089560627937261,150.0,0.0,0.24955729166666668,0.019557291666666643,0.5266666666666666,0.04666666666666669,0.31726279854774475,0.025938481092453003,0.22203125,0.018020833333333333,0.4666666666666667,0.033333333333333326,0.27146589010953903,0.023224689066410065,0.18085937500000002,0.007473958333333336,0.47000000000000003,0.03666666666666668,0.22548097372055054,0.02326178550720215,0.13481770833333334,0.004140624999999995,0.44666666666666666,0.006666666666666654,0.16784843802452087,0.010879501700401306,0.13481770833333334,0.004140624999999995,0.44666666666666666,0.006666666666666654,0.33519780774612906,0.018722681761043275,0.16784843802452087,0.010879501700401306,,,,,,,,,,,,,,,,,,,,,,,,
waterbirds,ResNet-50,val_matched,test_matched,test,matched,layer4,0.5,0.5,0.96,0.013333333333333364,0.9633333333333334,0.003333333333333355,-0.0033333333333332993,0.01666666666666672,0.19114990234375,0.004028320312499986,0.15957336649298667,0.0017089560627937261,150.0,0.0,0.10153645833333333,0.0005468749999999953,0.19333333333333333,0.013333333333333336,0.0813375934958458,0.004130460321903229,0.101171875,0.00903645833333333,0.19666666666666666,0.02333333333333333,0.07762179523706436,0.0088157057762146,0.09958333333333333,0.001979166666666664,0.21000000000000002,0.003333333333333341,0.0695977471768856,0.004875149577856064,0.094375,0.0015104166666666669,0.18666666666666665,0.006666666666666668,0.06951912119984627,0.0008543841540813446,0.094375,0.0015104166666666669,0.18666666666666665,0.006666666666666668,0.5561500958051959,0.010273767081222684,0.06951912119984627,0.0008543841540813446,,,,,,,,,,,,,,,,,,,,,,,,
waterbirds,ResNet-50,val_matched,test_mismatched,test,mismatched,layer4,0.5,0.5,0.96,0.013333333333333364,0.5433333333333333,0.15000000000000002,0.4166666666666667,0.13666666666666666,0.19114990234375,0.004028320312499986,0.15957336649298667,0.0017089560627937261,150.0,0.0,0.24929687499999997,0.013932291666666638,0.5066666666666666,0.006666666666666654,0.2958315461874008,0.011621877551078796,0.21861979166666667,0.007734374999999974,0.44999999999999996,0.003333333333333327,0.2595744878053665,0.008226290345191956,0.17364583333333333,0.006822916666666665,0.44333333333333336,0.016666666666666663,0.2136337161064148,0.0074312686920166016,0.13018229166666667,0.0005989583333333159,0.43333333333333335,0.006666666666666654,0.14927034825086594,0.007557280361652374,0.13018229166666667,0.0005989583333333159,0.43333333333333335,0.006666666666666654,0.34101104339224686,0.010005769746623233,0.14927034825086594,0.007557280361652374,,,,,,,,,,,,,,,,,,,,,,,,
waterbirds,ResNet-50,val_matched,val_landbird_land,val,matched,layer4,0.5,0.5,0.96,0.013333333333333364,0.99,0.0033333333333332993,-0.02999999999999997,0.010000000000000064,0.19114990234375,0.004028320312499986,0.15957336649298667,0.0017089560627937261,150.0,0.0,0.105,0.0010416666666666768,0.20666666666666667,0.013333333333333336,0.09934918209910393,0.0011840052902698517,0.10484375000000001,0.005156249999999994,0.20666666666666667,0.013333333333333336,0.09132469072937965,0.0020085833966732025,0.09973958333333334,0.00208333333333334,0.20666666666666667,0.0,0.09121858701109886,0.00956093892455101,0.09036458333333333,0.0023437500000000056,0.2,0.013333333333333336,0.08422619849443436,0.0001801028847694397,0.09036458333333333,0.0023437500000000056,0.2,0.013333333333333336,0.6085255269117977,0.02828313810741645,0.08422619849443436,0.0001801028847694397,,,,,,,,,,,,,,,,,,,,,,,,
waterbirds,ResNet-50,val_matched,val_landbird_water,val,mismatched,layer4,0.5,0.5,0.96,0.013333333333333364,0.5966666666666667,0.16333333333333333,0.36333333333333334,0.14999999999999997,0.19114990234375,0.004028320312499986,0.15957336649298667,0.0017089560627937261,150.0,0.0,0.2949479166666667,0.010677083333333337,0.63,0.010000000000000009,0.37101316452026367,0.008783340454101562,0.25755208333333335,0.011041666666666644,0.5800000000000001,0.013333333333333364,0.32481101155281067,0.013645559549331665,0.20908854166666668,0.0047656250000000094,0.5633333333333332,0.016666666666666663,0.2820810377597809,0.015960365533828735,0.14934895833333334,0.005182291666666672,0.48333333333333334,0.010000000000000009,0.1895192563533783,0.007078081369400024,0.14934895833333334,0.005182291666666672,0.48333333333333334,0.010000000000000009,0.2956932699052852,0.017955652849214077,0.1895192563533783,0.007078081369400024,,,,,,,,,,,,,,,,,,,,,,,,
waterbirds,ResNet-50,val_matched,val_waterbird_land,val,mismatched,layer4,0.5,0.5,0.96,0.013333333333333364,0.40601503759398494,0.045112781954887216,0.5539849624060151,0.05844611528822058,0.19114990234375,0.004028320312499986,0.15957336649298667,0.0017089560627937261,133.0,0.0,0.12006304824561402,0.0007671522556391003,0.2706516290726817,0.003333333333333355,0.10806134343147278,0.007030181586742401,0.1143518953634085,0.0032295582706766968,0.2037844611528822,0.003984962406015036,0.10747469216585159,0.0014766007661819458,0.11837249373433584,0.0017164003759398486,0.2531578947368421,0.015463659147869666,0.11442969366908073,0.0013042949140071869,0.1539738016917293,0.0008123825187969919,0.37967418546365916,0.01335839598997493,0.18710509687662125,0.001758776605129242,0.1539738016917293,0.0008123825187969919,0.37967418546365916,0.01335839598997493,0.25879574418179807,0.002003580752429207,0.18710509687662125,0.001758776605129242,,,,,,,,,,,,,,,,,,,,,,,,
waterbirds,ResNet-50,val_matched,val_waterbird_water,val,matched,layer4,0.5,0.5,0.96,0.013333333333333364,0.9135338345864661,0.04135338345864664,0.04646616541353388,0.054686716791980006,0.19114990234375,0.004028320312499986,0.15957336649298667,0.0017089560627937261,133.0,0.0,0.2996471647869674,0.000159382832080196,0.6472180451127819,0.0032581453634085156,0.3858256936073303,0.00538221001625061,0.26356085526315787,0.0031907894736842024,0.5835338345864662,0.004536340852130338,0.3395269960165024,0.004301384091377258,0.2169405936716792,0.0008503681077694225,0.5764411027568922,0.0,0.2911672592163086,0.0009724795818328857,0.19399475250626566,0.00214677318295739,0.5462907268170426,0.0033333333333332993,0.27546317875385284,0.0012568384408950806,0.19399475250626566,0.00214677318295739,0.5462907268170426,0.0033333333333332993,0.20914612274811298,0.011343913318113491,0.27546317875385284,0.0012568384408950806,,,,,,,,,,,,,,,,,,,,,,,,
waterbirds,ResNet-50,val_matched,test_landbird_land,test,matched,layer4,0.5,0.5,0.96,0.013333333333333364,0.99,0.010000000000000009,-0.02999999999999997,0.023333333333333373,0.19114990234375,0.004028320312499986,0.15957336649298667,0.0017089560627937261,150.0,0.0,0.11541666666666667,0.006875000000000013,0.20666666666666667,0.006666666666666668,0.10584009066224098,0.0008289702236652374,0.110703125,0.007578125000000005,0.21666666666666667,0.016666666666666663,0.09451190009713173,0.00885506346821785,0.11039062499999999,0.0033593749999999978,0.23,0.023333333333333345,0.08628170192241669,0.003722451627254486,0.1065625,0.0004687500000000108,0.22333333333333333,0.009999999999999995,0.09424933418631554,0.002316851168870926,0.1065625,0.0004687500000000108,0.22333333333333333,0.009999999999999995,0.4502213401224662,0.005041102462372771,0.09424933418631554,0.002316851168870926,,,,,,,,,,,,,,,,,,,,,,,,
waterbirds,ResNet-50,val_matched,test_landbird_water,test,mismatched,layer4,0.5,0.5,0.96,0.013333333333333364,0.56,0.23333333333333334,0.4,0.21999999999999997,0.19114990234375,0.004028320312499986,0.15957336649298667,0.0017089560627937261,150.0,0.0,0.3095572916666667,0.004921874999999992,0.6533333333333333,0.013333333333333308,0.3828757554292679,0.000283166766166687,0.2618229166666667,0.0008333333333333526,0.6233333333333333,0.010000000000000009,0.33234310150146484,0.0032936930656433105,0.21049479166666668,0.0001822916666666674,0.5766666666666667,0.016666666666666663,0.2927680164575577,0.008028879761695862,0.15119791666666668,0.0016666666666666774,0.5633333333333334,0.0033333333333332993,0.20395606756210327,0.007365092635154724,0.15119791666666668,0.0016666666666666774,0.5633333333333334,0.0033333333333332993,0.27492752747611526,0.004066873891046291,0.20395606756210327,0.007365092635154724,,,,,,,,,,,,,,,,,,,,,,,,
