dataset,model,pearson_accuracy_vs_ks,pearson_accuracy_vs_mmd,spearman_accuracy_vs_ks,spearman_accuracy_vs_mmd
waterbirds,ResNet-50,0.3345757282969682,0.33142195579804956,0.42869565217391303,0.3817391304347826
waterbirds,EfficientNet-B0,0.3453804186900272,0.32881189464148664,0.4843478260869564,0.477391304347826
