dataset,model,reference_group,target_group,target_split,alignment,probe_layer,trial,trial_std,clean_accuracy,clean_accuracy_std,drift_accuracy,drift_accuracy_std,accuracy_drop,accuracy_drop_std,ks_threshold,ks_threshold_std,mmd_threshold,mmd_threshold_std,group_size,group_size_std,layer1_ks_mean,layer1_ks_mean_std,layer1_ks_max,layer1_ks_max_std,layer1_mmd,layer1_mmd_std,layer2_ks_mean,layer2_ks_mean_std,layer2_ks_max,layer2_ks_max_std,layer2_mmd,layer2_mmd_std,layer3_ks_mean,layer3_ks_mean_std,layer3_ks_max,layer3_ks_max_std,layer3_mmd,layer3_mmd_std,layer4_ks_mean,layer4_ks_mean_std,layer4_ks_max,layer4_ks_max_std,layer4_mmd,layer4_mmd_std,ks_mean,ks_mean_std,ks_max,ks_max_std,pvalue_mean,pvalue_mean_std,mmd,mmd_std,features.3_ks_mean,features.3_ks_mean_std,features.3_ks_max,features.3_ks_max_std,features.3_mmd,features.3_mmd_std,features.4_ks_mean,features.4_ks_mean_std,features.4_ks_max,features.4_ks_max_std,features.4_mmd,features.4_mmd_std,features.6_ks_mean,features.6_ks_mean_std,features.6_ks_max,features.6_ks_max_std,features.6_mmd,features.6_mmd_std,features.8_ks_mean,features.8_ks_mean_std,features.8_ks_max,features.8_ks_max_std,features.8_mmd,features.8_mmd_std,label_name,background
waterbirds,ResNet-50,val_matched,val_landbird_land,val,matched,layer4,0.5,0.5,0.96,0.0133333333333333,0.99,0.0033333333333332,-0.0299999999999999,0.01,0.19114990234375,0.0040283203124999,0.1595733664929866,0.0017089560627937,150.0,0.0,0.105,0.0010416666666666,0.2066666666666666,0.0133333333333333,0.0993491820991039,0.0011840052902698,0.10484375,0.0051562499999999,0.2066666666666666,0.0133333333333333,0.0913246907293796,0.0020085833966732,0.0997395833333333,0.0020833333333333,0.2066666666666666,0.0,0.0912185870110988,0.009560938924551,0.0903645833333333,0.00234375,0.2,0.0133333333333333,0.0842261984944343,0.0001801028847694,0.0903645833333333,0.00234375,0.2,0.0133333333333333,0.6085255269117977,0.0282831381074164,0.0842261984944343,0.0001801028847694,,,,,,,,,,,,,,,,,,,,,,,,,landbird,land
waterbirds,ResNet-50,val_matched,val_landbird_water,val,mismatched,layer4,0.5,0.5,0.96,0.0133333333333333,0.5966666666666667,0.1633333333333333,0.3633333333333333,0.1499999999999999,0.19114990234375,0.0040283203124999,0.1595733664929866,0.0017089560627937,150.0,0.0,0.2949479166666667,0.0106770833333333,0.63,0.01,0.3710131645202636,0.0087833404541015,0.2575520833333333,0.0110416666666666,0.5800000000000001,0.0133333333333333,0.3248110115528106,0.0136455595493316,0.2090885416666666,0.004765625,0.5633333333333332,0.0166666666666666,0.2820810377597809,0.0159603655338287,0.1493489583333333,0.0051822916666666,0.4833333333333333,0.01,0.1895192563533783,0.0070780813694,0.1493489583333333,0.0051822916666666,0.4833333333333333,0.01,0.2956932699052852,0.017955652849214,0.1895192563533783,0.0070780813694,,,,,,,,,,,,,,,,,,,,,,,,,landbird,water
waterbirds,ResNet-50,val_matched,val_waterbird_land,val,mismatched,layer4,0.5,0.5,0.96,0.0133333333333333,0.4060150375939849,0.0451127819548872,0.5539849624060151,0.0584461152882205,0.19114990234375,0.0040283203124999,0.1595733664929866,0.0017089560627937,133.0,0.0,0.120063048245614,0.0007671522556391,0.2706516290726817,0.0033333333333333,0.1080613434314727,0.0070301815867424,0.1143518953634085,0.0032295582706766,0.2037844611528822,0.003984962406015,0.1074746921658515,0.0014766007661819,0.1183724937343358,0.0017164003759398,0.2531578947368421,0.0154636591478696,0.1144296936690807,0.0013042949140071,0.1539738016917293,0.0008123825187969,0.3796741854636591,0.0133583959899749,0.1871050968766212,0.0017587766051292,0.1539738016917293,0.0008123825187969,0.3796741854636591,0.0133583959899749,0.258795744181798,0.0020035807524292,0.1871050968766212,0.0017587766051292,,,,,,,,,,,,,,,,,,,,,,,,,waterbird,land
waterbirds,ResNet-50,val_matched,val_waterbird_water,val,matched,layer4,0.5,0.5,0.96,0.0133333333333333,0.913533834586466,0.0413533834586466,0.0464661654135338,0.05468671679198,0.19114990234375,0.0040283203124999,0.1595733664929866,0.0017089560627937,133.0,0.0,0.2996471647869674,0.0001593828320801,0.6472180451127819,0.0032581453634085,0.3858256936073303,0.0053822100162506,0.2635608552631578,0.0031907894736842,0.5835338345864662,0.0045363408521303,0.3395269960165024,0.0043013840913772,0.2169405936716792,0.0008503681077694,0.5764411027568922,0.0,0.2911672592163086,0.0009724795818328,0.1939947525062656,0.0021467731829573,0.5462907268170426,0.0033333333333332,0.2754631787538528,0.001256838440895,0.1939947525062656,0.0021467731829573,0.5462907268170426,0.0033333333333332,0.2091461227481129,0.0113439133181134,0.2754631787538528,0.001256838440895,,,,,,,,,,,,,,,,,,,,,,,,,waterbird,water
waterbirds,ResNet-50,val_matched,test_landbird_land,test,matched,layer4,0.5,0.5,0.96,0.0133333333333333,0.99,0.01,-0.0299999999999999,0.0233333333333333,0.19114990234375,0.0040283203124999,0.1595733664929866,0.0017089560627937,150.0,0.0,0.1154166666666666,0.006875,0.2066666666666666,0.0066666666666666,0.1058400906622409,0.0008289702236652,0.110703125,0.007578125,0.2166666666666666,0.0166666666666666,0.0945119000971317,0.0088550634682178,0.1103906249999999,0.0033593749999999,0.23,0.0233333333333333,0.0862817019224166,0.0037224516272544,0.1065625,0.00046875,0.2233333333333333,0.0099999999999999,0.0942493341863155,0.0023168511688709,0.1065625,0.00046875,0.2233333333333333,0.0099999999999999,0.4502213401224662,0.0050411024623727,0.0942493341863155,0.0023168511688709,,,,,,,,,,,,,,,,,,,,,,,,,landbird,land
waterbirds,ResNet-50,val_matched,test_landbird_water,test,mismatched,layer4,0.5,0.5,0.96,0.0133333333333333,0.56,0.2333333333333333,0.4,0.2199999999999999,0.19114990234375,0.0040283203124999,0.1595733664929866,0.0017089560627937,150.0,0.0,0.3095572916666667,0.0049218749999999,0.6533333333333333,0.0133333333333333,0.3828757554292679,0.0002831667661666,0.2618229166666667,0.0008333333333333,0.6233333333333333,0.01,0.3323431015014648,0.0032936930656433,0.2104947916666666,0.0001822916666666,0.5766666666666667,0.0166666666666666,0.2927680164575577,0.0080288797616958,0.1511979166666666,0.0016666666666666,0.5633333333333334,0.0033333333333332,0.2039560675621032,0.0073650926351547,0.1511979166666666,0.0016666666666666,0.5633333333333334,0.0033333333333332,0.2749275274761152,0.0040668738910462,0.2039560675621032,0.0073650926351547,,,,,,,,,,,,,,,,,,,,,,,,,landbird,water
waterbirds,ResNet-50,val_matched,test_waterbird_land,test,mismatched,layer4,0.5,0.5,0.96,0.0133333333333333,0.42,0.0,0.54,0.0133333333333334,0.19114990234375,0.0040283203124999,0.1595733664929866,0.0017089560627937,150.0,0.0,0.1214322916666666,0.0010677083333333,0.22,0.0133333333333333,0.1148943267762661,0.0084428526461124,0.11515625,0.00578125,0.2533333333333333,0.0199999999999999,0.1107053309679031,0.0025601312518119,0.1160677083333333,0.0023697916666666,0.2466666666666666,0.0266666666666666,0.1021137423813343,0.0031009502708911,0.1566666666666666,0.0043229166666666,0.4033333333333333,0.0033333333333333,0.1970386803150177,0.0065022855997085,0.1566666666666666,0.0043229166666666,0.4033333333333333,0.0033333333333333,0.2556976104908177,0.0132254263665727,0.1970386803150177,0.0065022855997085,,,,,,,,,,,,,,,,,,,,,,,,,waterbird,land
waterbirds,ResNet-50,val_matched,test_waterbird_water,test,matched,layer4,0.5,0.5,0.96,0.0133333333333333,0.9066666666666668,0.0466666666666666,0.0533333333333333,0.06,0.19114990234375,0.0040283203124999,0.1595733664929866,0.0017089560627937,150.0,0.0,0.3063281249999999,0.0060677083333333,0.6433333333333333,0.0033333333333332,0.3890361189842224,0.0029136836528778,0.2654427083333333,0.001015625,0.5833333333333334,0.01,0.3368448466062546,0.0013245493173599,0.2141927083333333,0.001953125,0.5866666666666667,0.0333333333333333,0.2789447158575058,0.0086599737405776,0.1944791666666666,0.0031770833333333,0.5233333333333333,0.01,0.265118196606636,0.0031538158655166,0.1944791666666666,0.0031770833333333,0.5233333333333333,0.01,0.1925537305161961,0.024179835692893,0.265118196606636,0.0031538158655166,,,,,,,,,,,,,,,,,,,,,,,,,waterbird,water
waterbirds,EfficientNet-B0,val_matched,val_landbird_land,val,matched,features.8,0.5,0.5,0.9666666666666668,0.0066666666666667,0.9833333333333334,0.0033333333333333,-0.0166666666666666,0.01,0.193487548828125,0.0029479980468749,0.1546789310872554,0.0014327511191368,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0908854166666666,0.00484375,0.2166666666666666,0.0166666666666666,0.6109228470010135,0.0431565205126822,0.0787941440939903,0.0040879100561141,0.1001666666666666,0.0008333333333333,0.1866666666666666,0.02,0.1112277060747146,0.0031734779477119,0.100625,0.002875,0.21,0.0099999999999999,0.0999980345368385,0.0019598379731178,0.0956770833333333,0.0013020833333333,0.2,0.0,0.0891782380640506,0.0004795603454113,0.0908854166666666,0.00484375,0.2166666666666666,0.0166666666666666,0.0787941440939903,0.0040879100561141,landbird,land
waterbirds,EfficientNet-B0,val_matched,val_landbird_water,val,mismatched,features.8,0.5,0.5,0.9666666666666668,0.0066666666666667,0.5766666666666667,0.0033333333333332,0.39,0.0033333333333334,0.193487548828125,0.0029479980468749,0.1546789310872554,0.0014327511191368,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.1495052083333333,0.0006510416666666,0.4433333333333333,0.0166666666666666,0.250804531699732,0.0032174186421967,0.1621114015579223,0.0090463310480117,0.2555,0.0076666666666666,0.6399999999999999,0.0066666666666666,0.4104135036468506,0.019673466682434,0.2344583333333333,0.005625,0.5633333333333334,0.03,0.3549719899892807,0.0155139714479446,0.1976562499999999,0.0032291666666666,0.4833333333333333,0.0366666666666666,0.254062294960022,0.0052768886089324,0.1495052083333333,0.0006510416666666,0.4433333333333333,0.0166666666666666,0.1621114015579223,0.0090463310480117,landbird,water
