dataset,model,trial,drift_type,severity,clean_accuracy,drift_accuracy,accuracy_drop,probe_layer,ks_threshold,mmd_threshold,layer1_ks_mean,layer1_ks_max,layer1_mmd,layer2_ks_mean,layer2_ks_max,layer2_mmd,layer3_ks_mean,layer3_ks_max,layer3_mmd,layer4_ks_mean,layer4_ks_max,layer4_mmd,ks_mean,ks_max,pvalue_mean,mmd,ks_alert,mmd_alert,features.3_ks_mean,features.3_ks_max,features.3_mmd,features.4_ks_mean,features.4_ks_max,features.4_mmd,features.6_ks_mean,features.6_ks_max,features.6_mmd,features.8_ks_mean,features.8_ks_max,features.8_mmd
fake,ResNet-50,0,gaussian_noise,low,0.125,0.125,0.0,layer4,0.2323079427083333,0.23043666705489158,0.4609375,1.0,0.7444453835487366,0.48518880208333337,0.9583333333333334,0.8164350986480713,0.51220703125,0.9583333333333334,0.8124646544456482,0.40950520833333337,0.875,0.6474297046661377,0.40950520833333337,0.875,0.2663956042872647,0.6474297046661377,True,True,,,,,,,,,,,,
fake,ResNet-50,0,gaussian_noise,medium,0.125,0.125,0.0,layer4,0.2323079427083333,0.23043666705489158,0.7833658854166667,1.0,0.9938780069351196,0.7801106770833334,1.0,1.0158461332321167,0.8274739583333334,1.0,1.024799108505249,0.8020833333333335,1.0,1.0224308967590332,0.8020833333333335,1.0,0.08154259963384067,1.0224308967590332,True,True,,,,,,,,,,,,
fake,ResNet-50,0,gaussian_noise,high,0.125,0.125,0.0,layer4,0.2323079427083333,0.23043666705489158,0.8748372395833334,1.0,0.9319525361061096,0.8536783854166667,1.0,0.9444917440414429,0.9007161458333334,1.0,0.9447271227836609,0.8976236979166666,1.0,0.949425220489502,0.8976236979166666,1.0,0.048879597069380526,0.949425220489502,True,True,,,,,,,,,,,,
fake,ResNet-50,0,motion_blur,low,0.125,0.125,0.0,layer4,0.2323079427083333,0.23043666705489158,0.69287109375,1.0,1.0520836114883423,0.6775716145833333,1.0,1.1086580753326416,0.7097981770833333,1.0,1.1325784921646118,0.6311848958333334,1.0,1.0269944667816162,0.6311848958333334,1.0,0.13253550406723413,1.0269944667816162,True,True,,,,,,,,,,,,
fake,ResNet-50,0,motion_blur,medium,0.125,0.125,0.0,layer4,0.2323079427083333,0.23043666705489158,0.8759765625,1.0,1.0035933256149292,0.8059895833333333,1.0,1.0254727602005005,0.8424479166666667,1.0,1.0454082489013672,0.8253580729166666,1.0,1.040759801864624,0.8253580729166666,1.0,0.062282963043477496,1.040759801864624,True,True,,,,,,,,,,,,
fake,ResNet-50,0,motion_blur,high,0.125,0.125,0.0,layer4,0.2323079427083333,0.23043666705489158,0.9186197916666666,1.0,0.9653722643852234,0.849609375,1.0,0.9808704853057861,0.8849283854166666,1.0,0.992283284664154,0.8831380208333334,1.0,0.9927772879600525,0.8831380208333334,1.0,0.05208088665292809,0.9927772879600525,True,True,,,,,,,,,,,,
fake,ResNet-50,0,brightness_shift,low,0.125,0.125,0.0,layer4,0.2323079427083333,0.23043666705489158,0.8502604166666666,1.0,0.9544432759284973,0.7537434895833333,1.0,1.051316261291504,0.73291015625,1.0,1.1737818717956543,0.6956380208333333,1.0,1.0915777683258057,0.6956380208333333,1.0,0.1159997182325424,1.0915777683258057,True,True,,,,,,,,,,,,
fake,ResNet-50,0,brightness_shift,medium,0.125,0.125,0.0,layer4,0.2323079427083333,0.23043666705489158,0.91552734375,1.0,0.9187925457954407,0.81005859375,1.0,0.926658570766449,0.5621744791666667,1.0,0.8522846698760986,0.42919921875,1.0,0.6444733738899231,0.42919921875,1.0,0.2480546238815589,0.6444733738899231,True,True,,,,,,,,,,,,
fake,ResNet-50,0,brightness_shift,high,0.125,0.125,0.0,layer4,0.2323079427083333,0.23043666705489158,0.9541015625,1.0,0.9331779479980469,0.8933919270833334,1.0,0.9719199538230896,0.8756510416666666,1.0,1.002074122428894,0.8430989583333334,1.0,0.9887381196022034,0.8430989583333334,1.0,0.0770217647602442,0.9887381196022034,True,True,,,,,,,,,,,,
fake,EfficientNet-B0,0,gaussian_noise,low,0.08333333333333333,0.08333333333333333,0.0,features.8,0.237451171875,0.20153405368328095,,,,,,,,,,,,,0.1142578125,0.25,0.9828527707784882,0.021696945652365685,False,False,0.14791666666666664,0.3333333333333333,0.05894264578819275,0.11927083333333335,0.25,0.03348911926150322,0.11371527777777778,0.20833333333333334,0.023284412920475006,0.1142578125,0.25,0.021696945652365685
fake,EfficientNet-B0,0,gaussian_noise,medium,0.08333333333333333,0.08333333333333333,0.0,features.8,0.237451171875,0.20153405368328095,,,,,,,,,,,,,0.16617838541666666,0.3333333333333333,0.8438351652447156,0.08301642537117004,False,False,0.3416666666666667,0.7083333333333334,0.3419977128505707,0.23489583333333336,0.625,0.1893996298313141,0.16927083333333334,0.2916666666666667,0.09075071662664413,0.16617838541666666,0.3333333333333333,0.08301642537117004
fake,EfficientNet-B0,0,gaussian_noise,high,0.08333333333333333,0.08333333333333333,0.0,features.8,0.237451171875,0.20153405368328095,,,,,,,,,,,,,0.2373046875,0.5416666666666666,0.5648780106116773,0.19377261400222778,False,False,0.60625,0.9583333333333334,0.7584466934204102,0.4046875,0.9166666666666666,0.49472060799598694,0.248046875,0.5833333333333334,0.2213594913482666,0.2373046875,0.5416666666666666,0.19377261400222778
fake,EfficientNet-B0,0,motion_blur,low,0.08333333333333333,0.08333333333333333,0.0,features.8,0.237451171875,0.20153405368328095,,,,,,,,,,,,,0.15690104166666669,0.375,0.8603351625495101,0.08640854060649872,False,False,0.35625,0.8333333333333334,0.39894819259643555,0.2635416666666667,0.5833333333333334,0.2331615835428238,0.16362847222222224,0.4166666666666667,0.0975017100572586,0.15690104166666669,0.375,0.08640854060649872
fake,EfficientNet-B0,0,motion_blur,medium,0.08333333333333333,0.08333333333333333,0.0,features.8,0.237451171875,0.20153405368328095,,,,,,,,,,,,,0.23746744791666666,0.5416666666666666,0.5676667033121466,0.19655852019786835,True,False,0.5697916666666666,1.0,0.7416627407073975,0.4286458333333333,0.9166666666666666,0.504803478717804,0.24370659722222224,0.7916666666666666,0.22147390246391296,0.23746744791666666,0.5416666666666666,0.19655852019786835
