dataset,model,pearson_accuracy_vs_ks,pearson_accuracy_vs_mmd,spearman_accuracy_vs_ks,spearman_accuracy_vs_mmd
fake,ResNet-50,nan,nan,nan,nan
fake,EfficientNet-B0,nan,nan,nan,nan
