dataset,model,trial,ks_threshold,mmd_threshold,clean_accuracy
fake,ResNet-50,0,0.2323079427083333,0.23043666705489158,0.125
fake,EfficientNet-B0,0,0.237451171875,0.20153405368328095,0.08333333333333333
