dataset,model,pearson_accuracy_vs_ks,pearson_accuracy_vs_mmd,spearman_accuracy_vs_ks,spearman_accuracy_vs_mmd
cifar10,ResNet-50,0.9087107866350813,0.8288046251313967,0.910124452588565,0.8708682332941661
cifar10,EfficientNet-B0,0.9704869519121639,0.8995320415428427,0.9236326109391124,0.9298245614035088
