dataset,model,drift_type,severity,probe_layer,trial,trial_std,clean_accuracy,clean_accuracy_std,drift_accuracy,drift_accuracy_std,accuracy_drop,accuracy_drop_std,ks_threshold,ks_threshold_std,mmd_threshold,mmd_threshold_std,layer1_ks_mean,layer1_ks_mean_std,layer1_ks_max,layer1_ks_max_std,layer1_mmd,layer1_mmd_std,layer2_ks_mean,layer2_ks_mean_std,layer2_ks_max,layer2_ks_max_std,layer2_mmd,layer2_mmd_std,layer3_ks_mean,layer3_ks_mean_std,layer3_ks_max,layer3_ks_max_std,layer3_mmd,layer3_mmd_std,layer4_ks_mean,layer4_ks_mean_std,layer4_ks_max,layer4_ks_max_std,layer4_mmd,layer4_mmd_std,ks_mean,ks_mean_std,ks_max,ks_max_std,pvalue_mean,pvalue_mean_std,mmd,mmd_std,features.3_ks_mean,features.3_ks_mean_std,features.3_ks_max,features.3_ks_max_std,features.3_mmd,features.3_mmd_std,features.4_ks_mean,features.4_ks_mean_std,features.4_ks_max,features.4_ks_max_std,features.4_mmd,features.4_mmd_std,features.6_ks_mean,features.6_ks_mean_std,features.6_ks_max,features.6_ks_max_std,features.6_mmd,features.6_mmd_std,features.8_ks_mean,features.8_ks_mean_std,features.8_ks_max,features.8_ks_max_std,features.8_mmd,features.8_mmd_std
cifar10,ResNet-50,gaussian_noise,low,layer4,0.5,0.5,0.7866666666666666,0.006666666666666654,0.7,0.0,0.08666666666666673,0.006666666666666654,0.19411277770996094,0.004897689819335943,0.15659721866250037,0.007461658120155326,0.6157552083333333,0.003932291666666643,1.0,0.0,0.8257787525653839,0.004463225603103638,0.5010416666666666,0.005221354166666636,1.0,0.0,0.8281421959400177,0.004539817571640015,0.33373372395833334,0.0027180989583333315,1.0,0.0,0.6890513896942139,0.006879568099975586,0.24909342447916666,0.0010856119791666646,1.0,0.0,0.48758234083652496,0.004025474190711975,0.24909342447916666,0.0010856119791666646,1.0,0.0,0.13955223953181767,0.003095069370806322,0.48758234083652496,0.004025474190711975,,,,,,,,,,,,,,,,,,,,,,,,
cifar10,ResNet-50,gaussian_noise,medium,layer4,0.5,0.5,0.7866666666666666,0.006666666666666654,0.5033333333333333,0.03,0.2833333333333333,0.03666666666666665,0.19411277770996094,0.004897689819335943,0.15659721866250037,0.007461658120155326,0.7176302083333332,0.004609374999999971,1.0,0.0,0.8728891313076019,0.0008880198001861572,0.5618554687499999,0.002454427083333266,1.0,0.0,0.8535293638706207,8.401274681091309e-05,0.3836848958333334,0.003997395833333306,1.0,0.0,0.7823337614536285,0.009540349245071411,0.29693033854166667,0.004954427083333324,1.0,0.0,0.5240753889083862,0.010339558124542236,0.29693033854166667,0.004954427083333324,1.0,0.0,0.09017743787659929,0.0028403681535377964,0.5240753889083862,0.010339558124542236,,,,,,,,,,,,,,,,,,,,,,,,
cifar10,ResNet-50,gaussian_noise,high,layer4,0.5,0.5,0.7866666666666666,0.006666666666666654,0.2833333333333333,0.010000000000000009,0.5033333333333334,0.016666666666666663,0.19411277770996094,0.004897689819335943,0.15659721866250037,0.007461658120155326,0.7717057291666667,0.0039713541666666075,1.0,0.0,0.8982511758804321,0.004889547824859619,0.6282747395833332,0.0014648437500000555,1.0,0.0,0.869185209274292,0.002466857433319092,0.45780273437499996,0.004723307291666673,1.0,0.0,0.8367157876491547,0.010204404592514038,0.3680419921875,0.003982747395833347,1.0,0.0,0.5930964052677155,0.004678100347518921,0.3680419921875,0.003982747395833347,1.0,0.0,0.05488791284563185,0.0033692625873860786,0.5930964052677155,0.004678100347518921,,,,,,,,,,,,,,,,,,,,,,,,
cifar10,ResNet-50,motion_blur,low,layer4,0.5,0.5,0.7866666666666666,0.006666666666666654,0.7866666666666666,0.006666666666666654,0.0,0.013333333333333308,0.19411277770996094,0.004897689819335943,0.15659721866250037,0.007461658120155326,0.15888020833333333,0.00031249999999999334,0.7566666666666667,0.010000000000000009,0.14695905148983002,0.0022258609533309937,0.18001953125,0.001803385416666664,0.9833333333333334,0.016666666666666663,0.1837262436747551,0.0029549822211265564,0.18344401041666666,0.0033268229166666663,0.8600000000000001,0.026666666666666672,0.27003563940525055,0.007758840918540955,0.12441080729166668,0.0005501302083333326,0.74,0.026666666666666672,0.13624301552772522,0.0015176385641098022,0.12441080729166668,0.0005501302083333326,0.74,0.026666666666666672,0.37636244917855105,0.0007245161877353357,0.13624301552772522,0.0015176385641098022,,,,,,,,,,,,,,,,,,,,,,,,
cifar10,ResNet-50,motion_blur,medium,layer4,0.5,0.5,0.7866666666666666,0.006666666666666654,0.74,0.013333333333333308,0.04666666666666669,0.019999999999999962,0.19411277770996094,0.004897689819335943,0.15659721866250037,0.007461658120155326,0.19733072916666666,0.0008984375000000155,0.8366666666666667,0.0033333333333332993,0.2017989605665207,0.0027565062046051025,0.20991536458333335,0.0016341145833333182,0.9433333333333334,0.030000000000000027,0.22093160450458527,0.0025735050439834595,0.20560546875,0.0033919270833333293,0.9066666666666667,0.013333333333333364,0.31298427283763885,0.006637498736381531,0.15230631510416667,0.0008186848958333381,0.8200000000000001,0.026666666666666672,0.18233457952737808,0.0021472200751304626,0.15230631510416667,0.0008186848958333381,0.8200000000000001,0.026666666666666672,0.2597133191907697,0.0027722338054514684,0.18233457952737808,0.0021472200751304626,,,,,,,,,,,,,,,,,,,,,,,,
cifar10,ResNet-50,motion_blur,high,layer4,0.5,0.5,0.7866666666666666,0.006666666666666654,0.69,0.003333333333333355,0.09666666666666668,0.010000000000000009,0.19411277770996094,0.004897689819335943,0.15659721866250037,0.007461658120155326,0.21985677083333335,0.00019531250000001665,0.8999999999999999,0.006666666666666654,0.24524735659360886,0.004100672900676727,0.21896484375000003,0.000787760416666658,0.7766666666666666,0.003333333333333355,0.23681017756462097,0.0034911781549453735,0.208046875,0.003248697916666682,0.8966666666666667,0.016666666666666663,0.30419448018074036,0.00654330849647522,0.16389648437499998,0.0008756510416666613,0.8466666666666667,0.040000000000000036,0.19615083187818527,0.003357626497745514,0.16389648437499998,0.0008756510416666613,0.8466666666666667,0.040000000000000036,0.22258200404408984,0.00045501760769013633,0.19615083187818527,0.003357626497745514,,,,,,,,,,,,,,,,,,,,,,,,
cifar10,ResNet-50,brightness_shift,low,layer4,0.5,0.5,0.7866666666666666,0.006666666666666654,0.7766666666666666,0.016666666666666663,0.010000000000000009,0.010000000000000009,0.19411277770996094,0.004897689819335943,0.15659721866250037,0.007461658120155326,0.17537760416666665,0.0020963541666666613,0.5633333333333334,0.043333333333333335,0.1755581647157669,5.260109901428223e-06,0.11581380208333333,8.463541666667296e-05,0.5633333333333332,0.016666666666666663,0.15366580337285995,0.0003925338387489319,0.07529947916666667,0.0004036458333333409,0.44333333333333336,0.003333333333333327,0.09929419308900833,0.0005333498120307922,0.06904134114583332,0.00012207031249999306,0.22999999999999998,0.003333333333333341,0.04442055523395538,0.0007091537117958069,0.06904134114583332,0.00012207031249999306,0.22999999999999998,0.003333333333333341,0.8144002722518114,0.002120997034810168,0.04442055523395538,0.0007091537117958069,,,,,,,,,,,,,,,,,,,,,,,,
cifar10,ResNet-50,brightness_shift,medium,layer4,0.5,0.5,0.7866666666666666,0.006666666666666654,0.7466666666666667,0.0,0.03999999999999998,0.006666666666666654,0.19411277770996094,0.004897689819335943,0.15659721866250037,0.007461658120155326,0.31578125,0.002057291666666683,0.7266666666666667,0.020000000000000018,0.3628465384244919,0.0013091415166854858,0.18586588541666665,0.0009700520833333393,0.79,0.003333333333333355,0.26602914929389954,3.394484519958496e-05,0.10932291666666666,0.00044921875000000083,0.7866666666666666,0.0,0.1817987784743309,0.0017202869057655334,0.10309407552083333,0.0008479817708333393,0.4666666666666667,0.006666666666666654,0.090028565376997,0.0002750866115093231,0.10309407552083333,0.0008479817708333393,0.4666666666666667,0.006666666666666654,0.5072878232818777,0.008945299970490234,0.090028565376997,0.0002750866115093231,,,,,,,,,,,,,,,,,,,,,,,,
cifar10,ResNet-50,brightness_shift,high,layer4,0.5,0.5,0.7866666666666666,0.006666666666666654,0.6933333333333334,0.006666666666666654,0.09333333333333338,0.013333333333333308,0.19411277770996094,0.004897689819335943,0.15659721866250037,0.007461658120155326,0.5119921875,0.001861979166666694,0.96,0.006666666666666654,0.6266557574272156,0.003036797046661377,0.29501953125,0.0006966145833333659,0.9233333333333333,0.0033333333333332993,0.4330553561449051,0.0010710209608078003,0.16013020833333336,0.00037109374999999556,0.9533333333333334,0.006666666666666654,0.29569903016090393,0.00381585955619812,0.1611376953125,0.0022119140625000006,0.7933333333333333,0.00666666666666671,0.17461838573217392,0.001199476420879364,0.1611376953125,0.0022119140625000006,0.7933333333333333,0.00666666666666671,0.23367398667261602,0.009493013169203576,0.17461838573217392,0.001199476420879364,,,,,,,,,,,,,,,,,,,,,,,,
cifar10,EfficientNet-B0,gaussian_noise,low,features.8,0.5,0.5,0.8466666666666667,0.020000000000000018,0.7033333333333334,0.043333333333333335,0.1433333333333333,0.06333333333333335,0.19468994140625,0.001578369140624994,0.1584109287708998,0.0009426411241292981,,,,,,,,,,,,,,,,,,,,,,,,,0.22236458333333334,0.003494791666666691,1.0,0.0,0.14954771774431555,0.008972419732988207,0.3698436915874481,0.002214282751083374,0.54375,0.0005833333333333246,1.0,0.0,0.8220212459564209,0.0038976669311523438,0.4746666666666667,0.0046666666666666246,1.0,0.0,0.7019779980182648,0.008051425218582153,0.3109201388888889,0.0013368055555555702,0.9666666666666667,0.0,0.5078639090061188,0.004280537366867065,0.22236458333333334,0.003494791666666691,1.0,0.0,0.3698436915874481,0.002214282751083374
