dataset,model,trial,ks_threshold,mmd_threshold,clean_accuracy
cifar10,ResNet-50,0,0.19901046752929688,0.1640588767826557,0.7933333333333333
cifar10,EfficientNet-B0,0,0.196268310546875,0.15935356989502908,0.8666666666666667
cifar10,ResNet-50,1,0.189215087890625,0.14913556054234506,0.78
cifar10,EfficientNet-B0,1,0.193111572265625,0.15746828764677048,0.8266666666666667
